polytree_size,n_samples,n_latent_mean,n_latent_std,n_observed_mean,n_observed_std,discrepancy_error_mean,precision_mean,recall_mean,f1_mean,perfect_recovery_rate
4,10000000,1.0,0.0,3.0,0.0,0.4901780937543389,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9
4,15000000,1.0,0.0,3.0,0.0,0.13011976561119246,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9
4,20000000,1.0,0.0,3.0,0.0,0.1022942150338848,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9
5,10000000,1.0,0.0,4.0,0.0,0.019750827949950468,0.9400000000000001,0.95,0.9444444444444444,0.9
5,15000000,1.0,0.0,4.0,0.0,0.021553995844587524,0.9400000000000001,0.95,0.9444444444444444,0.9
5,20000000,1.0,0.0,4.0,0.0,0.011644324740304902,0.9400000000000001,0.95,0.9444444444444444,0.9
6,10000000,1.0,0.0,5.0,0.0,0.31802195641708847,0.6942857142857143,0.72,0.7057575757575757,0.5
6,15000000,1.0,0.0,5.0,0.0,0.12894196413735443,0.8400000000000001,0.86,0.849090909090909,0.7
6,20000000,1.0,0.0,5.0,0.0,0.11623325593958815,0.8333333333333333,0.86,0.8454545454545455,0.7
7,10000000,1.0,0.0,6.0,0.0,0.29505165551167395,0.5529761904761904,0.6,0.5745421245421245,0.2
7,15000000,1.0,0.0,6.0,0.0,0.3096664816475677,0.5285714285714285,0.5833333333333334,0.5538461538461538,0.2
7,20000000,1.0,0.0,6.0,0.0,0.213810366268387,0.5773809523809523,0.6166666666666667,0.5952380952380951,0.2
8,10000000,1.0,0.0,7.0,0.0,0.47440088966947547,0.5386904761904762,0.5999999999999999,0.5661904761904761,0.1
8,15000000,1.0,0.0,7.0,0.0,0.32354300052441803,0.48654761904761895,0.557142857142857,0.5176750700280112,0.1
8,20000000,1.0,0.0,7.0,0.0,0.15379503800092256,0.5055555555555555,0.5714285714285714,0.5349999999999999,0.2
